  8.68779E-03,  8.57778E-03,  8.39234E-03,  8.11970E-03,  7.74763E-03,  7.26385E-03,  6.65657E-03,  5.91527E-03,  5.03154E-03,  4.00015E-03,  2.82016E-03,  1.49598E-03,  3.83419E-05, -1.53509E-03, -3.19958E-03, -4.92379E-03, -6.67101E-03, -8.40102E-03, -1.00726E-02, -1.16463E-02, -1.30869E-02, -1.43661E-02, -1.54636E-02, -1.63680E-02, -1.70766E-02, -1.75942E-02, -1.79316E-02, -1.81042E-02, -1.81303E-02, -1.80293E-02, -1.78209E-02, -1.75240E-02, -1.71559E-02, -1.67326E-02, -1.62680E-02, -1.57739E-02, -1.52608E-02, -1.47370E-02, -1.42095E-02, -1.36840E-02,
  9.47539E-03,  9.39921E-03,  9.24129E-03,  8.98731E-03,  8.62200E-03,  8.12961E-03,  7.49456E-03,  6.70228E-03,  5.74040E-03,  4.60007E-03,  3.27754E-03,  1.77569E-03,  1.05544E-04, -1.71266E-03, -3.64899E-03, -5.66427E-03, -7.71156E-03, -9.73872E-03, -1.16919E-02, -1.35196E-02, -1.51765E-02, -1.66267E-02, -1.78461E-02, -1.88226E-02, -1.95563E-02, -2.00567E-02, -2.03414E-02, -2.04328E-02, -2.03562E-02, -2.01378E-02, -1.98028E-02, -1.93749E-02, -1.88754E-02, -1.83230E-02, -1.77337E-02, -1.71209E-02, -1.64959E-02, -1.58675E-02, -1.52431E-02, -1.46281E-02,
  1.03375E-02,  1.03055E-02,  1.01858E-02,  9.96105E-03,  9.61242E-03,  9.11983E-03,  8.46284E-03,  7.62157E-03,  6.57816E-03,  5.31854E-03,  3.83451E-03,  2.12607E-03,  2.03626E-04, -1.91010E-03, -4.17904E-03, -6.55398E-03, -8.97430E-03, -1.13715E-02, -1.36742E-02, -1.58141E-02, -1.77317E-02, -1.93814E-02, -2.07342E-02, -2.17788E-02, -2.25198E-02, -2.29750E-02, -2.31717E-02, -2.31424E-02, -2.29223E-02, -2.25459E-02, -2.20459E-02, -2.14514E-02, -2.07880E-02, -2.00776E-02, -1.93383E-02, -1.85847E-02, -1.78287E-02, -1.70794E-02, -1.63441E-02, -1.56278E-02,
  1.12786E-02,  1.13031E-02,  1.12347E-02,  1.10526E-02,  1.07338E-02,  1.02529E-02,  9.58323E-03,  8.69806E-03,  7.57202E-03,  6.18354E-03,  4.51762E-03,  2.56914E-03,  3.46291E-04, -2.12637E-03, -4.80576E-03, -7.62984E-03, -1.05196E-02, -1.33838E-02, -1.61262E-02, -1.86543E-02, -2.08890E-02, -2.27713E-02, -2.42670E-02, -2.53672E-02, -2.60853E-02, -2.64520E-02, -2.65092E-02, -2.63043E-02, -2.58854E-02, -2.52982E-02, -2.45840E-02, -2.37785E-02, -2.29120E-02, -2.20092E-02, -2.10902E-02, -2.01704E-02, -1.92619E-02, -1.83738E-02, -1.75123E-02, -1.66821E-02,
  1.23021E-02,  1.23976E-02,  1.23964E-02,  1.22739E-02,  1.20019E-02,  1.15489E-02,  1.08805E-02,  9.96105E-03,  8.75500E-03,  7.23018E-03,  5.36134E-03,  3.13482E-03,  5.53661E-04, -2.35735E-03, -5.54761E-03, -8.93899E-03, -1.24276E-02, -1.58901E-02, -1.91940E-02, -2.22120E-02, -2.48361E-02, -2.69890E-02, -2.86311E-02, -2.97600E-02, -3.04046E-02, -3.06165E-02, -3.04598E-02, -3.00027E-02, -2.93108E-02, -2.84438E-02, -2.74533E-02, -2.63821E-02, -2.52649E-02, -2.41293E-02, -2.29963E-02, -2.18816E-02, -2.07968E-02, -1.97499E-02, -1.87461E-02, -1.77886E-02,
  1.34101E-02,  1.35936E-02,  1.36785E-02,  1.36361E-02,  1.34327E-02,  1.30294E-02,  1.23824E-02,  1.14445E-02,  1.01668E-02,  8.50227E-03,  6.41048E-03,  3.86388E-03,  8.55421E-04, -2.59331E-03, -6.42487E-03, -1.05414E-02, -1.48054E-02, -1.90474E-02, -2.30816E-02, -2.67278E-02, -2.98351E-02, -3.23008E-02, -3.40806E-02, -3.51862E-02, -3.56744E-02, -3.56304E-02, -3.51518E-02, -3.43359E-02, -3.32718E-02, -3.20358E-02, -3.06909E-02, -2.92870E-02, -2.78628E-02, -2.64472E-02, -2.50611E-02, -2.37195E-02, -2.24322E-02, -2.12052E-02, -2.00419E-02, -1.89433E-02,
  1.46027E-02,  1.48933E-02,  1.50865E-02,  1.51493E-02,  1.50417E-02,  1.47165E-02,  1.41188E-02,  1.31869E-02,  1.18544E-02,  1.00540E-02,  7.72301E-03,  4.81192E-03,  1.29550E-03, -2.81473E-03, -7.45761E-03, -1.25126E-02, -1.77970E-02, -2.30746E-02, -2.80786E-02, -3.25465E-02, -3.62611E-02, -3.90829E-02, -4.09666E-02, -4.19537E-02, -4.21500E-02, -4.16956E-02, -4.07386E-02, -3.94168E-02, -3.78484E-02, -3.61290E-02, -3.43329E-02, -3.25158E-02, -3.07182E-02, -2.89684E-02, -2.72857E-02, -2.56820E-02, -2.41640E-02, -2.27346E-02, -2.13940E-02, -2.01402E-02,
  1.58771E-02,  1.62964E-02,  1.66232E-02,  1.68205E-02,  1.68421E-02,  1.66314E-02,  1.61206E-02,  1.52305E-02,  1.38725E-02,  1.19515E-02,  9.37331E-03,  6.05466E-03,  1.93886E-03, -2.98512E-03, -8.66100E-03, -1.49453E-02, -2.15963E-02, -2.82806E-02, -3.46049E-02, -4.01741E-02, -4.46633E-02, -4.78784E-02, -4.97829E-02, -5.04796E-02, -5.01625E-02, -4.90617E-02, -4.74004E-02, -4.53704E-02, -4.31244E-02, -4.07771E-02, -3.84116E-02, -3.60857E-02, -3.38381E-02, -3.16936E-02, -2.96662E-02, -2.77626E-02, -2.59846E-02, -2.43299E-02, -2.27941E-02, -2.13713E-02,
  1.72273E-02,  1.77982E-02,  1.82869E-02,  1.86527E-02,  1.88432E-02,  1.87922E-02,  1.84175E-02,  1.76196E-02,  1.62818E-02,  1.42733E-02,  1.14552E-02,  7.69414E-03,  2.88115E-03, -3.03947E-03, -1.00353E-02, -1.79479E-02, -2.64632E-02, -3.51068E-02, -4.32837E-02, -5.03748E-02, -5.58705E-02, -5.94916E-02, -6.12362E-02, -6.13334E-02, -6.01393E-02, -5.80314E-02, -5.53416E-02, -5.23290E-02, -4.91812E-02, -4.60269E-02, -4.29506E-02, -4.00053E-02, -3.72219E-02, -3.46160E-02, -3.21926E-02, -2.99500E-02, -2.78819E-02, -2.59791E-02, -2.42310E-02, -2.26264E-02,
  1.86426E-02,  1.93893E-02,  2.00702E-02,  2.06421E-02,  2.10474E-02,  2.12106E-02,  2.10344E-02,  2.03963E-02,  1.91467E-02,  1.71088E-02,  1.40840E-02,  9.86543E-03,  4.26139E-03, -2.86586E-03, -1.15460E-02, -2.16333E-02, -3.27387E-02, -4.41893E-02, -5.50630E-02, -6.43426E-02, -7.11792E-02, -7.51505E-02, -7.63560E-02, -7.52936E-02, -7.26217E-02, -6.89575E-02, -6.47804E-02, -6.04205E-02, -5.60887E-02, -5.19114E-02, -4.79601E-02, -4.42710E-02, -4.08577E-02, -3.77197E-02, -3.48475E-02, -3.22264E-02, -2.98390E-02, -2.76665E-02, -2.56904E-02, -2.38926E-02,
