  1.68925E-03,  1.79192E-03,  1.90255E-03,  2.02185E-03,  2.15054E-03,  2.28942E-03,  2.43934E-03,  2.60120E-03,  2.77596E-03,  2.96461E-03,  3.16816E-03,  3.38767E-03,  3.62416E-03,  3.87866E-03,  4.15212E-03,  4.44536E-03,  4.75906E-03,  5.09366E-03,  5.44925E-03,  5.82550E-03,  6.22151E-03,  6.63566E-03,  7.06550E-03,  7.50750E-03,  7.95700E-03,  8.40801E-03,  8.85322E-03,  9.28403E-03,  9.69073E-03,  1.00628E-02,  1.03896E-02,  1.06605E-02,  1.08664E-02,  1.09996E-02,  1.10551E-02,  1.10308E-02,  1.09275E-02,  1.07493E-02,  1.05028E-02,  1.01967E-02,  9.84108E-03,  9.44665E-03,  9.02407E-03,  8.58340E-03,  8.13371E-03,  7.68284E-03,  7.23728E-03,  6.80220E-03,  6.38156E-03,  5.97821E-03,  5.59409E-03,  5.23034E-03,  4.88752E-03,  4.56568E-03,  4.26449E-03,  3.98339E-03,  3.72158E-03,  3.47815E-03,  3.25212E-03,  3.04244E-03,  2.84809E-03,  2.66802E-03,  2.50122E-03,  2.34673E-03,  2.20363E-03,  2.07105E-03,  1.94817E-03,  1.83424E-03,  1.72853E-03,
  1.62752E-03,  1.72977E-03,  1.84033E-03,  1.95996E-03,  2.08951E-03,  2.22988E-03,  2.38204E-03,  2.54704E-03,  2.72601E-03,  2.92014E-03,  3.13068E-03,  3.35894E-03,  3.60625E-03,  3.87396E-03,  4.16339E-03,  4.47580E-03,  4.81231E-03,  5.17382E-03,  5.56094E-03,  5.97383E-03,  6.41204E-03,  6.87434E-03,  7.35850E-03,  7.86102E-03,  8.37693E-03,  8.89955E-03,  9.42037E-03,  9.92901E-03,  1.04134E-02,  1.08602E-02,  1.12554E-02,  1.15852E-02,  1.18369E-02,  1.20004E-02,  1.20687E-02,  1.20387E-02,  1.19119E-02,  1.16936E-02,  1.13930E-02,  1.10218E-02,  1.05935E-02,  1.01222E-02,  9.62153E-03,  9.10415E-03,  8.58111E-03,  8.06168E-03,  7.55324E-03,  7.06140E-03,  6.59021E-03,  6.14237E-03,  5.71949E-03,  5.32227E-03,  4.95078E-03,  4.60458E-03,  4.28287E-03,  3.98458E-03,  3.70852E-03,  3.45339E-03,  3.21784E-03,  3.00052E-03,  2.80012E-03,  2.61536E-03,  2.44503E-03,  2.28797E-03,  2.14311E-03,  2.00944E-03,  1.88603E-03,  1.77201E-03,  1.66660E-03,
  1.55714E-03,  1.65829E-03,  1.76805E-03,  1.88727E-03,  2.01687E-03,  2.15788E-03,  2.31140E-03,  2.47865E-03,  2.66092E-03,  2.85964E-03,  3.07631E-03,  3.31252E-03,  3.56997E-03,  3.85038E-03,  4.15554E-03,  4.48719E-03,  4.84704E-03,  5.23662E-03,  5.65721E-03,  6.10967E-03,  6.59427E-03,  7.11044E-03,  7.65645E-03,  8.22909E-03,  8.82332E-03,  9.43184E-03,  1.00449E-02,  1.06499E-02,  1.12320E-02,  1.17741E-02,  1.22576E-02,  1.26639E-02,  1.29760E-02,  1.31795E-02,  1.32646E-02,  1.32273E-02,  1.30692E-02,  1.27982E-02,  1.24268E-02,  1.19713E-02,  1.14500E-02,  1.08814E-02,  1.02834E-02,  9.67186E-03,  9.06027E-03,  8.45945E-03,  7.87764E-03,  7.32073E-03,  6.79260E-03,  6.29552E-03,  5.83047E-03,  5.39748E-03,  4.99590E-03,  4.62459E-03,  4.28209E-03,  3.96677E-03,  3.67689E-03,  3.41066E-03,  3.16634E-03,  2.94222E-03,  2.73666E-03,  2.54812E-03,  2.37516E-03,  2.21641E-03,  2.07065E-03,  1.93670E-03,  1.81354E-03,  1.70018E-03,  1.59575E-03,
  1.47761E-03,  1.57691E-03,  1.68506E-03,  1.80299E-03,  1.93172E-03,  2.07238E-03,  2.22622E-03,  2.39461E-03,  2.57907E-03,  2.78123E-03,  3.00288E-03,  3.24595E-03,  3.51251E-03,  3.80474E-03,  4.12496E-03,  4.47553E-03,  4.85885E-03,  5.27726E-03,  5.73296E-03,  6.22778E-03,  6.76305E-03,  7.33922E-03,  7.95552E-03,  8.60946E-03,  9.29626E-03,  1.00083E-02,  1.07346E-02,  1.14602E-02,  1.21666E-02,  1.28317E-02,  1.34308E-02,  1.39387E-02,  1.43314E-02,  1.45888E-02,  1.46968E-02,  1.46494E-02,  1.44492E-02,  1.41074E-02,  1.36419E-02,  1.30754E-02,  1.24332E-02,  1.17401E-02,  1.10196E-02,  1.02916E-02,  9.57248E-03,  8.87471E-03,  8.20720E-03,  7.57575E-03,  6.98370E-03,  6.43242E-03,  5.92188E-03,  5.45107E-03,  5.01831E-03,  4.62153E-03,  4.25842E-03,  3.92661E-03,  3.62370E-03,  3.34737E-03,  3.09536E-03,  2.86556E-03,  2.65599E-03,  2.46481E-03,  2.29031E-03,  2.13095E-03,  1.98528E-03,  1.85203E-03,  1.73000E-03,  1.61813E-03,  1.51547E-03,
  1.38848E-03,  1.48509E-03,  1.59072E-03,  1.70637E-03,  1.83315E-03,  1.97232E-03,  2.12525E-03,  2.29350E-03,  2.47877E-03,  2.68295E-03,  2.90813E-03,  3.15658E-03,  3.43082E-03,  3.73355E-03,  4.06766E-03,  4.43628E-03,  4.84266E-03,  5.29016E-03,  5.78213E-03,  6.32179E-03,  6.91191E-03,  7.55455E-03,  8.25048E-03,  8.99859E-03,  9.79505E-03,  1.06324E-02,  1.14987E-02,  1.23766E-02,  1.32430E-02,  1.40693E-02,  1.48225E-02,  1.54676E-02,  1.59704E-02,  1.63019E-02,  1.64415E-02,  1.63802E-02,  1.61220E-02,  1.56831E-02,  1.50898E-02,  1.43747E-02,  1.35729E-02,  1.27185E-02,  1.18421E-02,  1.09689E-02,  1.01185E-02,  9.30488E-03,  8.53721E-03,  7.82060E-03,  7.15711E-03,  6.54661E-03,  5.98751E-03,  5.47724E-03,  5.01273E-03,  4.59066E-03,  4.20765E-03,  3.86041E-03,  3.54576E-03,  3.26071E-03,  3.00247E-03,  2.76846E-03,  2.55632E-03,  2.36389E-03,  2.18919E-03,  2.03046E-03,  1.88607E-03,  1.75460E-03,  1.63473E-03,  1.52530E-03,  1.42528E-03,
  1.28933E-03,  1.38233E-03,  1.48443E-03,  1.59669E-03,  1.72033E-03,  1.85669E-03,  2.00730E-03,  2.17388E-03,  2.35832E-03,  2.56280E-03,  2.78968E-03,  3.04166E-03,  3.32168E-03,  3.63302E-03,  3.97929E-03,  4.36443E-03,  4.79275E-03,  5.26886E-03,  5.79761E-03,  6.38400E-03,  7.03286E-03,  7.74855E-03,  8.53428E-03,  9.39131E-03,  1.03178E-02,  1.13075E-02,  1.23482E-02,  1.34201E-02,  1.44951E-02,  1.55361E-02,  1.64984E-02,  1.73328E-02,  1.79896E-02,  1.84257E-02,  1.86101E-02,  1.85290E-02,  1.81887E-02,  1.76136E-02,  1.68430E-02,  1.59248E-02,  1.49089E-02,  1.38424E-02,  1.27654E-02,  1.17097E-02,  1.06982E-02,  9.74590E-03,  8.86125E-03,  8.04762E-03,  7.30482E-03,  6.63026E-03,  6.01998E-03,  5.46927E-03,  4.97315E-03,  4.52669E-03,  4.12517E-03,  3.76418E-03,  3.43961E-03,  3.14774E-03,  2.88516E-03,  2.64879E-03,  2.43584E-03,  2.24383E-03,  2.07050E-03,  1.91385E-03,  1.77210E-03,  1.64366E-03,  1.52709E-03,  1.42115E-03,  1.32471E-03,
  1.17981E-03,  1.26818E-03,  1.36563E-03,  1.47329E-03,  1.59244E-03,  1.72452E-03,  1.87120E-03,  2.03434E-03,  2.21606E-03,  2.41876E-03,  2.64516E-03,  2.89832E-03,  3.18169E-03,  3.49917E-03,  3.85513E-03,  4.25449E-03,  4.70276E-03,  5.20607E-03,  5.77117E-03,  6.40533E-03,  7.11621E-03,  7.91138E-03,  8.79770E-03,  9.78026E-03,  1.08609E-02,  1.20363E-02,  1.32954E-02,  1.46172E-02,  1.59678E-02,  1.72997E-02,  1.85519E-02,  1.96538E-02,  2.05321E-02,  2.11203E-02,  2.13702E-02,  2.12603E-02,  2.08000E-02,  2.00281E-02,  1.90052E-02,  1.78030E-02,  1.64944E-02,  1.51447E-02,  1.38069E-02,  1.25201E-02,  1.13101E-02,  1.01916E-02,  9.17061E-03,  8.24709E-03,  7.41700E-03,  6.67401E-03,  6.01073E-03,  5.41950E-03,  4.89284E-03,  4.42380E-03,  4.00598E-03,  3.63365E-03,  3.30166E-03,  3.00543E-03,  2.74088E-03,  2.50439E-03,  2.29276E-03,  2.10313E-03,  1.93298E-03,  1.78010E-03,  1.64251E-03,  1.51848E-03,  1.40649E-03,  1.30518E-03,  1.21338E-03,
  1.05959E-03,  1.14226E-03,  1.23387E-03,  1.33559E-03,  1.44876E-03,  1.57493E-03,  1.71586E-03,  1.87356E-03,  2.05036E-03,  2.24890E-03,  2.47219E-03,  2.72371E-03,  3.00742E-03,  3.32786E-03,  3.69025E-03,  4.10058E-03,  4.56576E-03,  5.09371E-03,  5.69347E-03,  6.37528E-03,  7.15040E-03,  8.03088E-03,  9.02882E-03,  1.01552E-02,  1.14182E-02,  1.28203E-02,  1.43546E-02,  1.60010E-02,  1.77212E-02,  1.94548E-02,  2.11185E-02,  2.26098E-02,  2.38167E-02,  2.46341E-02,  2.49837E-02,  2.48297E-02,  2.41881E-02,  2.31222E-02,  2.17289E-02,  2.01196E-02,  1.84022E-02,  1.66683E-02,  1.49873E-02,  1.34058E-02,  1.19506E-02,  1.06330E-02,  9.45386E-03,  8.40683E-03,  7.48179E-03,  6.66689E-03,  5.94996E-03,  5.31936E-03,  4.76445E-03,  4.27571E-03,  3.84478E-03,  3.46439E-03,  3.12819E-03,  2.83068E-03,  2.56707E-03,  2.33316E-03,  2.12532E-03,  1.94035E-03,  1.77546E-03,  1.62823E-03,  1.49650E-03,  1.37844E-03,  1.27241E-03,  1.17699E-03,  1.09096E-03,
  9.28464E-04,  1.00428E-03,  1.08875E-03,  1.18309E-03,  1.28868E-03,  1.40713E-03,  1.54030E-03,  1.69034E-03,  1.85972E-03,  2.05133E-03,  2.26848E-03,  2.51501E-03,  2.79542E-03,  3.11490E-03,  3.47956E-03,  3.89657E-03,  4.37438E-03,  4.92301E-03,  5.55424E-03,  6.28191E-03,  7.12197E-03,  8.09238E-03,  9.21262E-03,  1.05025E-02,  1.19802E-02,  1.36587E-02,  1.55411E-02,  1.76135E-02,  1.98364E-02,  2.21365E-02,  2.44004E-02,  2.64768E-02,  2.81900E-02,  2.93671E-02,  2.98745E-02,  2.96508E-02,  2.87232E-02,  2.72006E-02,  2.52449E-02,  2.30345E-02,  2.07328E-02,  1.84688E-02,  1.63311E-02,  1.43715E-02,  1.26128E-02,  1.10576E-02,  9.69621E-03,  8.51189E-03,  7.48521E-03,  6.59637E-03,  5.82673E-03,  5.15951E-03,  4.58007E-03,  4.07583E-03,  3.63611E-03,  3.25188E-03,  2.91550E-03,  2.62046E-03,  2.36124E-03,  2.13308E-03,  1.93190E-03,  1.75418E-03,  1.59688E-03,  1.45739E-03,  1.33341E-03,  1.22299E-03,  1.12443E-03,  1.03625E-03,  9.57178E-04,
  7.86282E-04,  8.54032E-04,  9.30005E-04,  1.01542E-03,  1.11170E-03,  1.22048E-03,  1.34370E-03,  1.48360E-03,  1.64280E-03,  1.82437E-03,  2.03190E-03,  2.26958E-03,  2.54239E-03,  2.85620E-03,  3.21801E-03,  3.63624E-03,  4.12104E-03,  4.68477E-03,  5.34241E-03,  6.11212E-03,  7.01567E-03,  8.07869E-03,  9.33061E-03,  1.08039E-02,  1.25323E-02,  1.45471E-02,  1.68705E-02,  1.95061E-02,  2.24232E-02,  2.55396E-02,  2.87044E-02,  3.16920E-02,  3.42181E-02,  3.59858E-02,  3.67558E-02,  3.64156E-02,  3.50156E-02,  3.27525E-02,  2.99096E-02,  2.67834E-02,  2.36259E-02,  2.06175E-02,  1.78657E-02,  1.54190E-02,  1.32853E-02,  1.14482E-02,  9.87903E-03,  8.54445E-03,  7.41120E-03,  6.44850E-03,  5.62921E-03,  4.93005E-03,  4.33152E-03,  3.81743E-03,  3.37447E-03,  2.99167E-03,  2.65997E-03,  2.37187E-03,  2.12108E-03,  1.90229E-03,  1.71102E-03,  1.54345E-03,  1.39633E-03,  1.26687E-03,  1.15268E-03,  1.05172E-03,  9.62239E-04,  8.82725E-04,  8.11890E-04,
